Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01011341,Leeds 061A,3,Household is deprived in two dimensions,104
E01011341,Leeds 061A,4,Household is deprived in three dimensions,31
E01011341,Leeds 061A,5,Household is deprived in four dimensions,1
E01011342,Leeds 060C,-8,Does not apply,0
E01011342,Leeds 060C,1,Household is not deprived in any dimension,186
E01011342,Leeds 060C,2,Household is deprived in one dimension,292
E01011342,Leeds 060C,3,Household is deprived in two dimensions,137
E01011342,Leeds 060C,4,Household is deprived in three dimensions,45
E01011342,Leeds 060C,5,Household is deprived in four dimensions,2
E01011343,Leeds 061B,-8,Does not apply,0
E01011343,Leeds 061B,1,Household is not deprived in any dimension,446
E01011343,Leeds 061B,2,Household is deprived in one dimension,275
E01011343,Leeds 061B,3,Household is deprived in two dimensions,151
E01011343,Leeds 061B,4,Household is deprived in three dimensions,58
E01011343,Leeds 061B,5,Household is deprived in four dimensions,4
E01011344,Leeds 065A,-8,Does not apply,0
E01011344,Leeds 065A,1,Household is not deprived in any dimension,227
E01011344,Leeds 065A,2,Household is deprived in one dimension,351
E01011344,Leeds 065A,3,Household is deprived in two dimensions,194
E01011344,Leeds 065A,4,Household is deprived in three dimensions,55
E01011344,Leeds 065A,5,Household is deprived in four dimensions,9
E01011345,Leeds 061C,-8,Does not apply,0
E01011345,Leeds 061C,1,Household is not deprived in any dimension,239
E01011345,Leeds 061C,2,Household is deprived in one dimension,258
E01011345,Leeds 061C,3,Household is deprived in two dimensions,126
E01011345,Leeds 061C,4,Household is deprived in three dimensions,42
E01011345,Leeds 061C,5,Household is deprived in four dimensions,5
E01011346,Leeds 060D,-8,Does not apply,0
E01011346,Leeds 060D,1,Household is not deprived in any dimension,269
E01011346,Leeds 060D,2,Household is deprived in one dimension,287
E01011346,Leeds 060D,3,Household is deprived in two dimensions,171
E01011346,Leeds 060D,4,Household is deprived in three dimensions,61
E01011346,Leeds 060D,5,Household is deprived in four dimensions,5
E01011347,Leeds 065B,-8,Does not apply,0
E01011347,Leeds 065B,1,Household is not deprived in any dimension,207
E01011347,Leeds 065B,2,Household is deprived in one dimension,322
E01011347,Leeds 065B,3,Household is deprived in two dimensions,189
E01011347,Leeds 065B,4,Household is deprived in three dimensions,63
E01011347,Leeds 065B,5,Household is deprived in four dimensions,7
E01011348,Leeds 065C,-8,Does not apply,0
