Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E02002368,Leeds 039,4,Household is deprived in three dimensions,54
E02002368,Leeds 039,5,Household is deprived in four dimensions,2
E02002369,Leeds 040,-8,Does not apply,0
E02002369,Leeds 040,1,Household is not deprived in any dimension,1193
E02002369,Leeds 040,2,Household is deprived in one dimension,1079
E02002369,Leeds 040,3,Household is deprived in two dimensions,689
E02002369,Leeds 040,4,Household is deprived in three dimensions,252
E02002369,Leeds 040,5,Household is deprived in four dimensions,15
E02002370,Leeds 041,-8,Does not apply,0
E02002370,Leeds 041,1,Household is not deprived in any dimension,1131
E02002370,Leeds 041,2,Household is deprived in one dimension,1079
E02002370,Leeds 041,3,Household is deprived in two dimensions,639
E02002370,Leeds 041,4,Household is deprived in three dimensions,219
E02002370,Leeds 041,5,Household is deprived in four dimensions,13
E02002371,Leeds 042,-8,Does not apply,0
E02002371,Leeds 042,1,Household is not deprived in any dimension,1848
E02002371,Leeds 042,2,Household is deprived in one dimension,1525
E02002371,Leeds 042,3,Household is deprived in two dimensions,774
E02002371,Leeds 042,4,Household is deprived in three dimensions,214
E02002371,Leeds 042,5,Household is deprived in four dimensions,23
E02002373,Leeds 044,-8,Does not apply,0
E02002373,Leeds 044,1,Household is not deprived in any dimension,1445
E02002373,Leeds 044,2,Household is deprived in one dimension,1069
E02002373,Leeds 044,3,Household is deprived in two dimensions,338
E02002373,Leeds 044,4,Household is deprived in three dimensions,80
E02002373,Leeds 044,5,Household is deprived in four dimensions,5
E02002374,Leeds 045,-8,Does not apply,0
E02002374,Leeds 045,1,Household is not deprived in any dimension,1546
E02002374,Leeds 045,2,Household is deprived in one dimension,999
E02002374,Leeds 045,3,Household is deprived in two dimensions,444
E02002374,Leeds 045,4,Household is deprived in three dimensions,135
E02002374,Leeds 045,5,Household is deprived in four dimensions,7
E02002375,Leeds 046,-8,Does not apply,0
E02002375,Leeds 046,1,Household is not deprived in any dimension,990
E02002375,Leeds 046,2,Household is deprived in one dimension,863
E02002375,Leeds 046,3,Household is deprived in two dimensions,531
E02002375,Leeds 046,4,Household is deprived in three dimensions,221
E02002375,Leeds 046,5,Household is deprived in four dimensions,14
E02002376,Leeds 047,-8,Does not apply,0
E02002376,Leeds 047,1,Household is not deprived in any dimension,842
E02002376,Leeds 047,2,Household is deprived in one dimension,912
E02002376,Leeds 047,3,Household is deprived in two dimensions,592
E02002376,Leeds 047,4,Household is deprived in three dimensions,228
E02002376,Leeds 047,5,Household is deprived in four dimensions,21
E02002377,Leeds 048,-8,Does not apply,0
E02002377,Leeds 048,1,Household is not deprived in any dimension,831
E02002377,Leeds 048,2,Household is deprived in one dimension,888
E02002377,Leeds 048,3,Household is deprived in two dimensions,535
E02002377,Leeds 048,4,Household is deprived in three dimensions,170
E02002377,Leeds 048,5,Household is deprived in four dimensions,8
E02002379,Leeds 050,-8,Does not apply,0
E02002379,Leeds 050,1,Household is not deprived in any dimension,825
E02002379,Leeds 050,2,Household is deprived in one dimension,783
E02002379,Leeds 050,3,Household is deprived in two dimensions,503
E02002379,Leeds 050,4,Household is deprived in three dimensions,230
E02002379,Leeds 050,5,Household is deprived in four dimensions,16
E02002380,Leeds 051,-8,Does not apply,0
E02002380,Leeds 051,1,Household is not deprived in any dimension,1177
E02002380,Leeds 051,2,Household is deprived in one dimension,836
E02002380,Leeds 051,3,Household is deprived in two dimensions,407
E02002380,Leeds 051,4,Household is deprived in three dimensions,97
E02002380,Leeds 051,5,Household is deprived in four dimensions,8
E02002381,Leeds 052,-8,Does not apply,0
E02002381,Leeds 052,1,Household is not deprived in any dimension,1514
E02002381,Leeds 052,2,Household is deprived in one dimension,927
E02002381,Leeds 052,3,Household is deprived in two dimensions,429
E02002381,Leeds 052,4,Household is deprived in three dimensions,135
E02002381,Leeds 052,5,Household is deprived in four dimensions,9
E02002382,Leeds 053,-8,Does not apply,0
E02002382,Leeds 053,1,Household is not deprived in any dimension,621
E02002382,Leeds 053,2,Household is deprived in one dimension,995
E02002382,Leeds 053,3,Household is deprived in two dimensions,591
E02002382,Leeds 053,4,Household is deprived in three dimensions,166
E02002382,Leeds 053,5,Household is deprived in four dimensions,29
E02002383,Leeds 054,-8,Does not apply,0
E02002383,Leeds 054,1,Household is not deprived in any dimension,1051
E02002383,Leeds 054,2,Household is deprived in one dimension,1008
E02002383,Leeds 054,3,Household is deprived in two dimensions,384
E02002383,Leeds 054,4,Household is deprived in three dimensions,62
E02002383,Leeds 054,5,Household is deprived in four dimensions,4
E02002384,Leeds 055,-8,Does not apply,0
E02002384,Leeds 055,1,Household is not deprived in any dimension,1821
E02002384,Leeds 055,2,Household is deprived in one dimension,1619
E02002384,Leeds 055,3,Household is deprived in two dimensions,796
E02002384,Leeds 055,4,Household is deprived in three dimensions,260
E02002384,Leeds 055,5,Household is deprived in four dimensions,16
E02002385,Leeds 056,-8,Does not apply,0
E02002385,Leeds 056,1,Household is not deprived in any dimension,1691
E02002385,Leeds 056,2,Household is deprived in one dimension,1301
E02002385,Leeds 056,3,Household is deprived in two dimensions,557
E02002385,Leeds 056,4,Household is deprived in three dimensions,147
E02002385,Leeds 056,5,Household is deprived in four dimensions,9
E02002386,Leeds 057,-8,Does not apply,0
E02002386,Leeds 057,1,Household is not deprived in any dimension,2150
E02002386,Leeds 057,2,Household is deprived in one dimension,1431
E02002386,Leeds 057,3,Household is deprived in two dimensions,570
E02002386,Leeds 057,4,Household is deprived in three dimensions,88
E02002386,Leeds 057,5,Household is deprived in four dimensions,12
E02002387,Leeds 058,-8,Does not apply,0
E02002387,Leeds 058,1,Household is not deprived in any dimension,1056
E02002387,Leeds 058,2,Household is deprived in one dimension,976
E02002387,Leeds 058,3,Household is deprived in two dimensions,507
E02002387,Leeds 058,4,Household is deprived in three dimensions,169
E02002387,Leeds 058,5,Household is deprived in four dimensions,11
E02002388,Leeds 059,-8,Does not apply,0
E02002388,Leeds 059,1,Household is not deprived in any dimension,1475
E02002388,Leeds 059,2,Household is deprived in one dimension,1165
E02002388,Leeds 059,3,Household is deprived in two dimensions,618
E02002388,Leeds 059,4,Household is deprived in three dimensions,212
E02002388,Leeds 059,5,Household is deprived in four dimensions,14
E02002389,Leeds 060,-8,Does not apply,0
E02002389,Leeds 060,1,Household is not deprived in any dimension,967
E02002389,Leeds 060,2,Household is deprived in one dimension,1136
E02002389,Leeds 060,3,Household is deprived in two dimensions,632
E02002389,Leeds 060,4,Household is deprived in three dimensions,240
E02002389,Leeds 060,5,Household is deprived in four dimensions,11
E02002390,Leeds 061,-8,Does not apply,0
E02002390,Leeds 061,1,Household is not deprived in any dimension,1463
E02002390,Leeds 061,2,Household is deprived in one dimension,1008
E02002390,Leeds 061,3,Household is deprived in two dimensions,454
E02002390,Leeds 061,4,Household is deprived in three dimensions,140
E02002390,Leeds 061,5,Household is deprived in four dimensions,11
E02002391,Leeds 062,-8,Does not apply,0
E02002391,Leeds 062,1,Household is not deprived in any dimension,1899
E02002391,Leeds 062,2,Household is deprived in one dimension,1163
E02002391,Leeds 062,3,Household is deprived in two dimensions,451
E02002391,Leeds 062,4,Household is deprived in three dimensions,112
E02002391,Leeds 062,5,Household is deprived in four dimensions,2
E02002392,Leeds 063,-8,Does not apply,0
E02002392,Leeds 063,1,Household is not deprived in any dimension,1164
E02002392,Leeds 063,2,Household is deprived in one dimension,1107
E02002392,Leeds 063,3,Household is deprived in two dimensions,390
E02002392,Leeds 063,4,Household is deprived in three dimensions,103
E02002392,Leeds 063,5,Household is deprived in four dimensions,7
E02002393,Leeds 064,-8,Does not apply,0
E02002393,Leeds 064,1,Household is not deprived in any dimension,1282
E02002393,Leeds 064,2,Household is deprived in one dimension,1490
E02002393,Leeds 064,3,Household is deprived in two dimensions,885
E02002393,Leeds 064,4,Household is deprived in three dimensions,327
E02002393,Leeds 064,5,Household is deprived in four dimensions,30
E02002394,Leeds 065,-8,Does not apply,0
E02002394,Leeds 065,1,Household is not deprived in any dimension,854
E02002394,Leeds 065,2,Household is deprived in one dimension,1346
E02002394,Leeds 065,3,Household is deprived in two dimensions,770
E02002394,Leeds 065,4,Household is deprived in three dimensions,235
E02002394,Leeds 065,5,Household is deprived in four dimensions,23
E02002395,Leeds 066,-8,Does not apply,0
E02002395,Leeds 066,1,Household is not deprived in any dimension,1465
E02002395,Leeds 066,2,Household is deprived in one dimension,901
E02002395,Leeds 066,3,Household is deprived in two dimensions,335
E02002395,Leeds 066,4,Household is deprived in three dimensions,70
E02002395,Leeds 066,5,Household is deprived in four dimensions,1
E02002396,Leeds 067,-8,Does not apply,0
E02002396,Leeds 067,1,Household is not deprived in any dimension,1823
E02002396,Leeds 067,2,Household is deprived in one dimension,1443
E02002396,Leeds 067,3,Household is deprived in two dimensions,625
E02002396,Leeds 067,4,Household is deprived in three dimensions,172
E02002396,Leeds 067,5,Household is deprived in four dimensions,21
E02002397,Leeds 068,-8,Does not apply,0
E02002397,Leeds 068,1,Household is not deprived in any dimension,1555
E02002397,Leeds 068,2,Household is deprived in one dimension,1168
E02002397,Leeds 068,3,Household is deprived in two dimensions,542
E02002397,Leeds 068,4,Household is deprived in three dimensions,141
E02002397,Leeds 068,5,Household is deprived in four dimensions,13
E02002398,Leeds 069,-8,Does not apply,0
E02002398,Leeds 069,1,Household is not deprived in any dimension,1693
E02002398,Leeds 069,2,Household is deprived in one dimension,1140
E02002398,Leeds 069,3,Household is deprived in two dimensions,419
E02002398,Leeds 069,4,Household is deprived in three dimensions,55
E02002398,Leeds 069,5,Household is deprived in four dimensions,2
E02002399,Leeds 070,-8,Does not apply,0
E02002399,Leeds 070,1,Household is not deprived in any dimension,922
E02002399,Leeds 070,2,Household is deprived in one dimension,967
E02002399,Leeds 070,3,Household is deprived in two dimensions,519
E02002399,Leeds 070,4,Household is deprived in three dimensions,213
E02002399,Leeds 070,5,Household is deprived in four dimensions,19
E02002400,Leeds 071,-8,Does not apply,0
E02002400,Leeds 071,1,Household is not deprived in any dimension,1472
E02002400,Leeds 071,2,Household is deprived in one dimension,1560
E02002400,Leeds 071,3,Household is deprived in two dimensions,854
E02002400,Leeds 071,4,Household is deprived in three dimensions,334
E02002400,Leeds 071,5,Household is deprived in four dimensions,32
E02002401,Leeds 072,-8,Does not apply,0
E02002401,Leeds 072,1,Household is not deprived in any dimension,897
E02002401,Leeds 072,2,Household is deprived in one dimension,924
E02002401,Leeds 072,3,Household is deprived in two dimensions,558
E02002401,Leeds 072,4,Household is deprived in three dimensions,231
E02002401,Leeds 072,5,Household is deprived in four dimensions,12
E02002402,Leeds 073,-8,Does not apply,0
E02002402,Leeds 073,1,Household is not deprived in any dimension,1510
E02002402,Leeds 073,2,Household is deprived in one dimension,764
E02002402,Leeds 073,3,Household is deprived in two dimensions,198
E02002402,Leeds 073,4,Household is deprived in three dimensions,25
E02002402,Leeds 073,5,Household is deprived in four dimensions,0
E02002403,Leeds 074,-8,Does not apply,0
E02002403,Leeds 074,1,Household is not deprived in any dimension,1438
E02002403,Leeds 074,2,Household is deprived in one dimension,919
E02002403,Leeds 074,3,Household is deprived in two dimensions,349
